0396;Digitalspeicher-Oszilloskop 4 Kanal;Tektronix;TDS2014;312000562038;540-22/2005/1/2;C040918;W91;K14;F4;Oszilloskop;Messtechniklabor (W91);/intra/woda/data/ela/img/TDS2014.jpg;;;;;;;;;;
0397;Netzgerät 20 V/ 6 A;Philips;PE 1539;312000560689;540-12/2000/4/2;WB 911;W91;K4;F2;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/pe1540.jpg;;;;;;;;;;
0398;Netzgerät 20 V/ 6 A;Philips;PE 1539;312000560688;540-13/2000/4/1;WB 874;W91;K4;F2;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/pe1540.jpg;;;;;;;;;;
0399;Netzgerät 2x30V/3A;NANO 80;EA-3023 S;312000560696;540-13/2000/12/1;2N3055;W91;K4;F5;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/doppelnetzgeraet.jpg;;;;;;;;;;
0400;Netzgerät 40 V/ 3 A;Philips;PE 1540;312000560687;540-13/2000/3/5;WB 1222;W91;K4;F3;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/pe1540.jpg;;;;;;;;;;
0401;Netzgerät 40 V/ 3 A;Philips;PE 1540;312000560684;540-14/04/78;WB 1201;W91;K4;F4;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/pe1540.jpg;;;;;;;;;;
0402;Netzgerät 40 V/ 3 A;Philips;PE 1540;312000560685;540-13/2000/3/2;WB 1194;W91;K4;F4;Netzgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/pe1540.jpg;;;;;;;;;;
0403;IC-Testsockel;HTL;;;;;W92;K2;F4;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/736.jpg;;;;;;;;;;
0404;IC-Testsockel;HTL;;;;;W92;K2;F4;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/736.jpg;;;;;;;;;;
0409;XY - Schreiber;Houston Instruments;;;;;W92;K15;;Drucker / Plotter;Regeltechniklabor (W92);;;;;;;;;;;
0411;RCL-Messbrücke;Philips;PM6302;312000560826;540-23/2000/18;LO-09  2947;W096;R5;F3;Messgerät;ELA-Magazin (W096);;;;;;;;;;;
0412;IC-Testsockel;HTL;;;;;W92;K2;F6;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/736.jpg;;;;;;;;;;
0413;Logic Analyzer 100 MHz;Philips;PM 3580/30;;;DA554200;W096;R3;F5;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00123.jpg;;;;;;;;;;
0414;Logic Analyzer 100 MHz;Philips;PM 3580;;;DA549210;W096;R3;F5;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00123.jpg;;;;;;;;;;
0415;XY - Schreiber;SketchMate;;;;;W92;K15;;Drucker / Plotter;Regeltechniklabor (W92);;;;;;;;;;;
0416;Nullkrafttestsockel;HTL;;;;;W92;K2;F5;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0417;Digitalkamera;Nikon;Coolpix 4500;312000561688;560-02/2002/2;4552001;W094;K1;F1;Computer;Laborant (W094b);;;;;;;;;;;
0418;Netzgerät  280 V/ 0.1 A;Rohde&Schwarz;NGM 280/0 1;312000560690;540-13/2000/5/1;248;W91;K4;F9;Netzgerät;Messtechniklabor (W91);;;;;;;;;;;
0419;Netzgerät  280 V/ 0.1 A;Rohde&Schwarz;NGM 280/0 2;312000560691;540-13/2000/5/2;249;W91;K4;F9;Netzgerät;Messtechniklabor (W91);;;;;;;;;;;
0422;Schallpegelmessgerät;Roline;RO-1350;;540-13/01/92;91113435;W92;K16;F2;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
0424;Multimeter;RS-Components;"MAN&apos;X TOP PLUS";;540-18/40/92;N137313MEC;W91;K5;F8;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00005.jpg;;;;;;;;;;
0425;Multimeter;RS-Components;"MAN&apos;X TOP PLUS";;540-18/41/92;N138771MEC;W91;K5;F8;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00005.jpg;;;;;;;;;;
0426;Multimeter;RS-Components;"MAN&apos;X TOP PLUS";;540-18/42/92;N137399MEC;W91;K5;F8;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00005.jpg;;;;;;;;;;
0427;Multimeter;RS-Components;"MAN&apos;X TOP PLUS";;540-18/43/92;N741586MEC;W91;K5;F8;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00005.jpg;;;;;;;;;;
0428;Multimeter;RS-Components;"MAN&apos;X TOP PLUS";;540-18/44/92;N137395MEC;W91;K5;F8;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00005.jpg;;;;;;;;;;
0430;Asynchronmaschine;Siemens;1LA01684KB40   15kW;;;3122229;Keller;;;Motor;Keller;;;;;;;;;;;
0431;Synchronmaschine;Siemens;160 SY 4;;420/2000/1;57979;W109;T2;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/447&462.jpg;;;;;;;;;;
0432;Asynchronmaschine;ABB;M3AA13254;;541-03/2009/2;3GAA132023-ADC;W109;T4;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA449,432,457.jpg;;;;;;;;;;
0435;Dreiphasen Stelltrafo;Siemens;RDM 3/9;;510-;956135a;Keller;;;Transformator;Keller;;;;;;;;;;;
0436;Dreiphasen Trafo;Siemens;VT240B;;510-;416;Keller;;;Transformator;Keller;;;;;;;;;;;
0437;Dreiphasen Trafo;Siemens;VT240C;;510-;414;Keller;;;Transformator;Keller;;;;;;;;;;;
0439;Frequenzzähler;Siemens;B2030;312000560755;540-20/2000/3/1;K-07-0276;W096;R2;F6;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/439.jpg;;;;;;;;;;
0440;Frequenzzähler;Siemens;B2030;312000560756;540-20/2000/3/2;K-07-0277;W096;R2;F6;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/439.jpg;;;;;;;;;;
0441;Frequenzzähler;Siemens;B2030;312000560754;540-20/2000/2/2;I-10-0127;W096;R2;F6;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/439.jpg;;;;;;;;;;
0442;Frequenzzähler;Siemens;B2030;312000560753;540-20/2000/2/1;I-10-0128;W096;R2;F6;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/439.jpg;;;;;;;;;;
0443;;HTL;;;;;W109;K5;F14;Transformator;E-Maschinenlabor (W109);/intra/woda/data/ela/img/443.jpg;;;;;;;;;;
0444;Gleichstrommaschine;Siemens;GM10   10kW;;;57933;Keller;;;Motor;Keller;;;;;;;;;;;
0445;Gleichstrommaschine;Siemens;GM10   10kW;;;57936;Keller;;;Motor;Keller;;;;;;;;;;;
0446;Gleichstrommaschine;Lenze;MGFQKTA100-32;;541-03/2009/1;1,33194E+21;W109;T1;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA446,452,455.jpg;;;;;;;;;;
0447;Gleichstrommaschine;Lenze;MGFQKTA100-32;;541-03/2009/3;1,33194E+21;W109;T3;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA447,462,456.jpg;;;;;;;;;;
0448;Gleichstrommaschine;Siemens;GM5 5.5kW;;421/2000/3/1;57975;W109;T2;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/431&448.jpg;;;;;;;;;;
0449;Gleichstrommaschine;Lenze;MGFQKTA100-32;;541-03/2009/2;1,33194E+21;W109;T4;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA449,432,457.jpg;;;;;;;;;;
0452;Gleichstrommaschine;Lenze;MGFQKTA100-32;;541-03/2009/1;1,33194E+21;W109;T1;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA446,452,455.jpg;;;;;;;;;;
0453;Hochlastwiderstand 3-Phasen;Siemens;E6-942       10 5kW;;540-26/2000/3;;W109;;;Widerstand;E-Maschinenlabor (W109);/intra/woda/data/ela/img/453.jpg;;;;;;;;;;
0454;Hochlastwiderstand 3-Phasen;Siemens;E6-942       10 5kW;;540-26/2000/1;;W109;;;Widerstand;E-Maschinenlabor (W109);/intra/woda/data/ela/img/453.jpg;;;;;;;;;;
0455;Visualisierung Motorenstand;Bernegger&Rainer;;;541-03/2009/4/1;;W109;T1;;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA446,452,455.jpg;;;;;;;;;;
0456;Visualisierung Motorenstand;Bernegger&Rainer;;;541-03/2009/4/2;;W109;T3;;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA447,462,456.jpg;;;;;;;;;;
0457;Visualisierung Motorenstand;Bernegger&Rainer;;;541-03/2009/4/3;;W109;T4;;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA449,432,457.jpg;;;;;;;;;;
0461;Synchronmaschine;Siemens;160L4SY   10kW;;;57939;Keller;;;Motor;Keller;;;;;;;;;;;
0462;Synchronmaschine;Mecc Alte;BTP 3-1S/4;;541-03/2009/3;1449964;W109;T3;;Motor;E-Maschinenlabor (W109);/intra/woda/data/ela/img/ELA447,462,456.jpg;;;;;;;;;;
0463;Kompensationskondensatoren;HTL;2x5,7µF/380VAC;;;;W91;K8;F4;Kapazität;Messtechniklabor (W91);;;;;;;;;;;
0464;Kompensationskondensatoren;HTL;1x5,7µF/380VAC;;;;W91;K8;F4;Kapazität;Messtechniklabor (W91);;;;;;;;;;;
0465;Kompensationskondensatoren;HTL;1x2,7µF,1x3,5µF/380V;;;;W91;K8;F4;Kapazität;Messtechniklabor (W91);;;;;;;;;;;
0466;prim. 220 / sec. 230 V;Siemens;WTE 500       500 VA;;510-04/01/79;997;W109;K9;;Transformator;E-Maschinenlabor (W109);/intra/woda/data/ela/img/466.jpg;;;;;;;;;;
0467;prim. 220 / sec. 230 V;Siemens;WTE 500       500 VA;;510-04/02/79;;W109;K9;;Transformator;E-Maschinenlabor (W109);/intra/woda/data/ela/img/466.jpg;;;;;;;;;;
0469;Trenntrafo 8 kV / 220 V;Siemens;OT3       8 kV/220 V;;510-01/07/80;16538;W109;K5;F12;Transformator;E-Maschinenlabor (W109);/intra/woda/data/ela/img/469.jpg;;;;;;;;;;
0470;Induktivität 900mH/220VAC/0,3A;Philips;58413AH/02;;;;W91;K8;F5;Induktivität;Messtechniklabor (W91);;;;;;;;;;;
0471;Induktivität 668mH/220VAC/0,5A;Zumtobel;;;;;W91;K8;F5;Induktivität;Messtechniklabor (W91);;;;;;;;;;;
0472;Induktivitäten 530mH/980mH/230VAC;HTL;;;;;W91;K8;F5;Induktivität;Messtechniklabor (W91);;;;;;;;;;;
0473;Induktivität 610mH/225VAC/0,42A;Philips;58420CH/05;;;;W91;K8;F5;Induktivität;Messtechniklabor (W91);;;;;;;;;;;
0477;Nullkrafttestsockel;HTL;;;;;W92;K2;F4;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0478;Klirrfaktormessbrücke;Tektronix;AA501;312000560810;540-23/2000/3;B020392;W096;R2;F3;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/478.jpg;;;;;;;;;;
0479;Schallpegelkalibrator;ISO-Tech;SCL-1356;;ELA-479;40930953;W92;K16;F2;Audiotechnik;Regeltechniklabor (W92);;;;;;;;;;;
0480;div. Kabel;HTL;;;;;W92;K12;F4;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0481;Halterung für div. Router/Switches;HTL;;;;;W92;K13;;Netzwerktechnik;Regeltechniklabor (W92);;;;;;;;;;;
0482;XY - Schreiber;HP;;;;;W92;K15;;Drucker / Plotter;Regeltechniklabor (W92);;;;;;;;;;;
0483;Oszilloskop-Doppelzeitbasis;Tektronix;465;;540-22/2000/8;1100544;W92;K24;;Oszilloskop;Regeltechniklabor (W92);;;;;;;;;;;
0485;Netzgerät 2x30 V/ 2 A IEC-Bus;THURLBY;PL320T-GP;312000560693;540-13/2000/7;2GP0055;W92;K10;F5;Netzgerät;Regeltechniklabor (W92);/intra/woda/data/ela/img/485.jpg;;;;;;;;;;
0492;Digitalmultimeter;Wavetek;2030 TRMS;312000560743;540-17/2000/30/1;930113122;W91;K5;F16;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00001.jpg;;;;;;;;;;
0493;Digitalmultimeter;Wavetek;2030 TRMS;312000560744;540-17/2000/30/2;930119003;W91;K5;F16;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00001.jpg;;;;;;;;;;
0494;Digitalmultimeter;Wavetek;2030 TRMS;312000560747;540-17/2000/33/3;930119065;W91;K5;F16;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00001.jpg;;;;;;;;;;
0495;Digitalmultimeter;Wavetek;2030 TRMS;312000560745;540-17/2000/31/1;930119003;W91;K5;F16;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/mvc00001.jpg;;;;;;;;;;
0496;Digitalmultimeter;Fluke;233;312000566041;540-17/2009/1/5;11190025;W91;K5;F7;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA389,390,391,393,496,497,500,501.jpg;;;;;;;;;;
0497;Digitalmultimeter;Fluke;233;312000566043;540-17/2009/1/6;11190164;W91;K5;F7;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA389,390,391,393,496,497,500,501.jpg;;;;;;;;;;
0498;Power Analyzer;LEM;Norma 3000;312000561911;540-28/2004/1;S3 80513;W096;R2;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/498.jpg;;;;;;;;;;
0499;Nullkrafttestsockel;HTL;;;;;W92;K2;F6;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0500;Digitalmultimeter;Fluke;233;312000566045;540-17/2009/1/7;11190166;W91;K5;F7;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA389,390,391,393,496,497,500,501.jpg;;;;;;;;;;
0501;Digitalmultimeter;Fluke;233;312000566047;540-17/2009/1/8;11190029;W91;K5;F7;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/ELA389,390,391,393,496,497,500,501.jpg;;;;;;;;;;
0502;Pocket PC;HP;iPAQ hx4700;312000562292;408-01/2005/23/3;00039-142-697-211;W094;K2;F6;Computer;Laborant (W094b);/intra/woda/data/ela/img/502.jpg;;;;;;;;;;
0503;Gleichstrommaschine;Wiener Schwachstromwerke;GM3  3kW;;421/2000/9/1;57214;Keller;;;Motor;Keller;/intra/woda/data/ela/img/503.jpg;;;;;;;;;;
0504;Gleichstrommaschine;Wiener Schwachstromwerke;GM3  3kW;;421/2000/9/2;57215;Keller;;;Motor;Keller;/intra/woda/data/ela/img/503.jpg;;;;;;;;;;
0505;Pocket PC;HP;iPAQhx4700;312000562291;408-01/2005/23/2;00039-142-697-210;W094;K2;F6;Computer;Laborant (W094b);/intra/woda/data/ela/img/502.jpg;;;;;;;;;;
0506;XY - Schreiber;HP;;;;;W92;K15;;Drucker / Plotter;Regeltechniklabor (W92);;;;;;;;;;;
0507;Induktivitätsdekade;RS-Components;L3;;540-27/04/78;4162;W91;K9;F8;Induktivität;Messtechniklabor (W91);;;;;;;;;;;
0508;Induktivitätsdekade;RS-Components;L3;;540-27/05/78;4163;W91;K9;F8;Induktivität;Messtechniklabor (W91);;;;;;;;;;;
0509;Kapazitätsdekade;RS-Components;C3;;540-27/02/78;;W91;K9;F8;Kapazität;Messtechniklabor (W91);;;;;;;;;;;
0510;Kapazitätsdekade;RS-Components;VC4;;540-27/03/78;;W91;K9;F8;Kapazität;Messtechniklabor (W91);;;;;;;;;;;
0511;Stroboskop;Sugawara;MS-200PB;;540-03/2000/1;9054564;W109;K1;F1;Beleuchtungstechnik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/511.jpg;;;;;;;;;;
0512;Signal Analyzer + PC;UEI;8010W;;540-28/2000/11;1341K61111;W109;EMV;Tisch;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/512.jpg;;;;;;;;;;
0514;RS232 Adapter für 0512;UEI;WIN 8010;;540-28/05/96;0101R61212;W109;EMV;Tisch;Adapter;E-Maschinenlabor (W109);;;;;;;;;;;
0515;2kW  Frequenzumrichter;Lenze;EVS9323-ES;;540-27/2004/3;3;W109;K5;F4;Leistungselektronik;E-Maschinenlabor (W109);/intra/woda/data/ela/img/515.jpg;;;;;;;;;;
0516;Schuko mit SIBU;HTL;Doppelsteckdose;;;;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0517;800W  Asynchron Servomotor;Lenze;MDSKARS056-22;;423-06/01/96;279614;W109;;;Leistungselektronik;E-Maschinenlabor (W109);;;;;;;;;;;
0518;600W  Synchron Servomotor;Lenze;MDSKSRS056-23;;423-06/01/96;277245;W109;;;Motor;E-Maschinenlabor (W109);;;;;;;;;;;
0519;3kW  Dreiphasen Motor;Lenze;DERA 90-12;;423-06/01/96;519068;W109;K5;F2;Motor;E-Maschinenlabor (W109);;;;;;;;;;;
0520;800W  Gleichstrommaschine;Lenze;43 550 54 0 3 5;;423-06/01/96;9140;W109;K5;F2;Motor;E-Maschinenlabor (W109);;;;;;;;;;;
0521;Steckbrett klein;RS-Components;;;;Brett 1;W91;K13;F8;Steckbrett;Messtechniklabor (W91);;;;;;;;;;;
0522;Steckbrett klein;RS-Components;;;;Brett 2;W91;K13;F6;Steckbrett;Messtechniklabor (W91);;;;;;;;;;;
0523;Steckbrett klein;RS-Components;;;;Brett 3;W91;K13;F6;Steckbrett;Messtechniklabor (W91);;;;;;;;;;;
0524;Steckbrett klein;RS-Components;;;;Brett 4;W91;K13;F6;Steckbrett;Messtechniklabor (W91);;;;;;;;;;;
0525;Schuko mit SIBU;HTL;Steckdose;;;1;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0526;Schuko mit SIBU;HTL;Steckdose;;;2;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0527;Schuko mit SIBU;HTL;Steckdose;;;3;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0528;Schuko mit SIBU;HTL;Steckdose;;;4;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0529;2Fach Ein/Aus-Schalter SIBU;HTL;Schalter/Dimmer/Taster;;;1;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0530;2Fach Ein/Aus-Schalter SIBU;HTL;Schalter/Dimmer/Taster;;;2;W91;K07;F3;Übungs-und Laboraufbauten;Messtechniklabor (W91);;;;;;;;;;;
0531;Steckbrett mit Versorgung;A-TEK;AT201;;;Brett 11;W91;K13;F2;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0532;Steckbrett mit Versorgung;A-TEK;AT201;;;Brett 12;W91;K13;F1;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0533;Steckbrett mit Versorgung;A-TEK;AT201;;;Brett 13;W91;K13;F1;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0534;Steckbrett mit Versorgung;A-TEK;AT201;;;Brett 14;W91;K13;F2;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0535;Steckbrett mit Versorgung;A-TEK;AT201;;;Brett 15;W91;K13;F4;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0536;Steckbrett mit Versorgung;A-TEK;AT201;;;Brett 16;W91;K13;F3;Steckbrett;Messtechniklabor (W91);/intra/woda/data/ela/img/531.JPG;;;;;;;;;;
0538;Aron Schalter;Benedikt&Jäger;Schalter/Dimmer/Taster;;;;W109;K1;F3;Schalter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/538.jpg;;;;;;;;;;
0539;Amperemeter Umschalter;Benedikt&Jäger;Schalter/Dimmer/Taster;;;;W109;K1;F3;Schalter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/538.jpg;;;;;;;;;;
0540;Voltmeter Umschalter;Benedikt&Jäger;Schalter/Dimmer/Taster;;;;W109;K1;F3;Schalter;E-Maschinenlabor (W109);/intra/woda/data/ela/img/540.jpg;;;;;;;;;;
0541;Federwaage 15kg;WaagenSchrenk;KC-08-15kg;;;;W109;K1;F1;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/541.jpg;;;;;;;;;;
0542;Federwaage 25kg;WaagenSchrenk;KC-08-25kg;;;;W109;K1;F1;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/541.jpg;;;;;;;;;;
0543;Federwaage 50kg;WaagenSchrenk;KC-08-50kg;;;;W109;K1;F1;Messgerät;E-Maschinenlabor (W109);/intra/woda/data/ela/img/541.jpg;;;;;;;;;;
0544;Laborversuchsaufbau;HTL;;;;;W92;K12;F1;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0545;Multifunktion Reader;Texas Instrument;Rfid-Reader;312000562203;540-10/2005/4;;W92;K12;F1;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0546;Laborversuchsaufbau;EPIA;Mini-ITX;;;;W92;K12;F1;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0547;Laborversuchsaufbau;EPIA;Mini-ITX;;;;W92;K12;F1;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0548;PC-Netzteile;HTL;Hr. Stoll;;;;W92;K13;;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0549;Milliohmmeter;Conrad;;;;190519;W096;R3;F2;Messgerät;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00131.jpg;;;;;;;;;;
0550;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0551;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0552;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0553;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0554;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0555;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0556;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0557;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0558;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0559;Micro-Professor;Multitech;MPF-1B;;;;W096;R6;F4;Mikrocontroller;ELA-Magazin (W096);/intra/woda/data/ela/img/mvc00150.jpg;;;;;;;;;;
0562;MobileRack;HTL;;;;;W92;K12;F1;Computer;Regeltechniklabor (W92);;;;;;;;;;;
0563;IC-Testsockel;HTL;;;;;W92;K2;F5;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/563.jpg;;;;;;;;;;
0564;14-Segmentanzeige;HTL;;;;;W92;K2;F5;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/563.jpg;;;;;;;;;;
0565;24V-TTL Adapter;HTL;;;;;W92;K2;F7;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/565.jpg;;;;;;;;;;
0566;24V-TTL;HTL;;;;;W92;K2;F4;Digitaltechnik;Regeltechniklabor (W92);;;;;;;;;;;
0567;24V-TTL;HTL;;;;;W92;K2;F7;Digitaltechnik;Regeltechniklabor (W92);;;;;;;;;;;
0568;24V-TTL;HTL;;;;;W92;K2;F7;Digitaltechnik;Regeltechniklabor (W92);;;;;;;;;;;
0569;24V-TTL;HTL;;;;;W92;K2;F7;Digitaltechnik;Regeltechniklabor (W92);;;;;;;;;;;
0570;24V-TTL;HTL;;;;;W92;K2;F7;Digitaltechnik;Regeltechniklabor (W92);;;;;;;;;;;
0571;24V-TTL;HTL;;;;;W92;K2;F7;Digitaltechnik;Regeltechniklabor (W92);;;;;;;;;;;
0572;Nullkrafttestsockel - 4+2mmBuchsen;HTL;;;;;W92;K2;F6;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0573;Nullkrafttestsockel - 4+2mmBuchsen;HTL;;;;;W92;K2;F6;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0574;Nullkrafttestsockel - 4+2mmBuchsen;HTL;;;;;W92;K2;F4;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0575;Nullkrafttestsockel - 4+2mmBuchsen;HTL;;;;;W92;K2;F6;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0576;Nullkrafttestsockel - 4+2mmBuchsen;HTL;;;;;W92;K2;F6;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/412.jpg;;;;;;;;;;
0577;IC-Testsockel;HTL;;;;;W92;K2;F4;Digitaltechnik;Regeltechniklabor (W92);/intra/woda/data/ela/img/736.jpg;;;;;;;;;;
0578;Digi Board;HPS;3910;312000560880;540-27/2000/39;;W92;K8;F6;Lehrsysteme;Regeltechniklabor (W92);;;;;;;;;;;
0579;Funktionsgenerator;TTi;TG230;312000560846;540-24/2000/12;103129;W91;K6;F2;Funktionsgenerator;Messtechniklabor (W91);/intra/woda/data/ela/img/tg230.jpg;;;;;;;;;;
0580;Funktionsgenerator;TTi;TG230;312000560848;540-24/2000/12/3;72713;W91;K6;F1;Funktionsgenerator;Messtechniklabor (W91);/intra/woda/data/ela/img/tg230.jpg;;;;;;;;;;
0581;Leistungsmesser;Metrix;PX 120;312000561977;540-16/2004/1/1;157454BFH;W91;K5;F5;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/580.jpg;;;;;;;;;;
0582;Leistungsmesser;Metrix;PX 120;312000561978;540-16/2004/1/2;157456BFH;W91;K5;F5;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/580.jpg;;;;;;;;;;
0583;Leistungsmesser;Metrix;PX 120;312000561979;540-16/2004/1/3;157482BFH;W91;K5;F5;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/580.jpg;;;;;;;;;;
0584;Leistungsmesser;Metrix;PX 120;312000561980;540-16/2004/1/4;157488BFH;W91;K5;F5;Messgerät;Messtechniklabor (W91);/intra/woda/data/ela/img/580.jpg;;;;;;;;;;
0585;Krimpzange;Huber&Suhner;75Z-0-0-1;312000561905;531-04/2004/1;;W094;S1;F2;Werkzeug;Laborant (W094b);;;;;;;;;;;
